part_number,name,description,brand,vehicle_make,vehicle_model,year_range,category,price_range,availability
FF-CAL-029,Brake Caliper Front,Front caliper loaded,Cardone,Ford,F-150,2015-2020,Brakes,140-240,In Stock
TC-AC-030,AC Compressor,Air conditioning compressor,Denso,Toyota,Camry,2015-2020,Electrical,280-480,Limited
HA-AC-030,AC Compressor,Air conditioning compressor,Denso,Honda,Accord,2015-2020,Electrical,280-480,Limited
FF-AC-030,AC Compressor,Air conditioning compressor,Denso,Ford,F-150,2015-2020,Electrical,320-540,Limited
TC-ALT-031,Alternator (Hybrid),Hybrid-spec alternator,Denso,Toyota,Camry,2018-2020,Electrical,260-420,Limited
HA-ALT-031,Alternator (Hybrid),Hybrid-spec alternator,Denso,Honda,Accord,2018-2020,Electrical,260-420,Limited
TC-HUB-032,Wheel Hub Assembly Front,Front hub with bearing,Timken,Toyota,Camry,2015-2020,Suspension,130-210,In Stock
HA-HUB-032,Wheel Hub Assembly Front,Front hub with bearing,Timken,Honda,Accord,2015-2020,Suspension,130-210,In Stock
FF-HUB-032,Wheel Hub Assembly Front,Front hub with bearing,Timken,Ford,F-150,2015-2020,Suspension,180-280,In Stock
TC-STR-033,Steering Rack,Power steering rack assembly,Aisin,Toyota,Camry,2015-2020,Suspension,420-720,Limited
HA-STR-033,Steering Rack,Power steering rack assembly,Aisin,Honda,Accord,2015-2020,Suspension,420-720,Limited
FF-STR-033,Steering Rack,Electric power steering rack,Bosch,Ford,F-150,2015-2020,Suspension,680-980,Limited
TC-MIR-034,Side Mirror Left,Heated powered mirror left,TYC,Toyota,Camry,2018-2021,Exterior,90-160,In Stock
HA-MIR-034,Side Mirror Left,Heated powered mirror left,TYC,Honda,Accord,2018-2021,Exterior,90-160,In Stock
FF-MIR-034,Side Mirror Left,Heated powered mirror left,TYC,Ford,F-150,2018-2020,Exterior,120-200,In Stock
TC-AXL-035,CV Axle Front Left,Front left CV axle,Cardone,Toyota,Camry,2015-2020,Suspension,140-240,In Stock
HA-AXL-035,CV Axle Front Left,Front left CV axle,Cardone,Honda,Accord,2015-2020,Suspension,140-240,In Stock
FF-AXL-035,CV Axle Front Left,Front left CV axle,Cardone,Ford,F-150,2015-2020,Suspension,180-320,In Stock
